Event Name,Start Date/Time,End Date/Time,Event Location,Latitude,Longitude
Basketball,2024-08-04T08:00:00.000,2024-08-04T20:00:00.000,St Nicholas Park: Arlington Edinboro Playground-Basketball-01,40.8172902,-73.94903635052356
Soccer - Non Regulation,2024-08-04T10:30:00.000,2024-08-04T13:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-03T17:00:00.000,2024-08-03T19:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Softball - Adults,2024-08-03T18:00:00.000,2024-08-03T22:00:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Softball - Adults,2024-07-31T17:00:00.000,2024-07-31T19:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-04T08:00:00.000,2024-08-04T11:00:00.000,"James J Walker Park: Soccer-01 ,Frederick Douglass Playground: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Softball - Adults,2024-07-17T17:00:00.000,2024-07-17T19:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-04T12:00:00.000,2024-08-04T21:00:00.000,"Tanahey Playground: Soccer-01 ,Robert Moses Playground: Soccer-01",40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-05T09:00:00.000,2024-08-05T15:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-05T10:00:00.000,2024-08-05T15:30:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-04T17:00:00.000,2024-08-04T19:30:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Celebration,2024-08-05T11:00:00.000,2024-08-05T12:00:00.000,Bryant Park: Le Carrousel,40.75375085,-73.98354279430387
Basketball,2024-08-05T08:00:00.000,2024-08-05T20:00:00.000,St Nicholas Park: Arlington Edinboro Playground-Basketball-01,40.8172902,-73.94903635052356
Soccer - Non Regulation,2024-08-05T08:00:00.000,2024-08-05T21:30:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-04T13:30:00.000,2024-08-04T16:30:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-04T19:00:00.000,2024-08-04T21:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
